id,focus,signal,slack,drag,confidence,score,lane
l001,lease drift,35,33,6,25,176,watch
l002,replica lag,35,34,6,55,237,ship
l003,membership churn,35,35,6,85,298,ship
l004,quorum health,35,36,18,25,155,watch
l005,lease drift,35,37,18,55,216,ship
l006,replica lag,35,38,18,85,277,ship
l007,membership churn,35,39,34,25,126,watch
l008,quorum health,35,40,34,55,187,watch
l009,lease drift,35,41,34,85,248,ship
l010,replica lag,60,42,6,25,260,ship
l011,membership churn,60,43,6,55,321,ship
l012,quorum health,60,44,6,85,382,ship
l013,lease drift,60,45,18,25,239,ship
l014,replica lag,60,46,18,55,300,ship
l015,membership churn,60,47,18,85,361,ship
l016,quorum health,60,48,34,25,210,ship
l017,lease drift,60,32,34,55,254,ship
l018,replica lag,60,33,34,85,315,ship
l019,membership churn,85,34,6,25,327,ship
l020,quorum health,85,35,6,55,388,ship
l021,lease drift,85,36,6,85,449,ship
l022,replica lag,85,37,18,25,306,ship
l023,membership churn,85,38,18,55,367,ship
l024,quorum health,85,39,18,85,428,ship
l025,lease drift,85,40,34,25,277,ship
l026,replica lag,85,41,34,55,338,ship
l027,membership churn,85,42,34,85,399,ship
