id,focus,signal,slack,drag,confidence,score,lane,kind,invariant
g001,quorum health,75,65,20,54,358,ship,baseline,monotonic-signal
g002,lease drift,103,76,15,46,447,ship,edge,drag-penalty
g003,replica lag,77,14,14,67,351,ship,recovery,confidence-floor
g004,membership churn,111,56,15,61,481,ship,negative,lane-boundary
g005,quorum health,88,9,17,63,365,ship,baseline,monotonic-signal
g006,lease drift,36,23,40,25,101,watch,edge,drag-penalty
g007,replica lag,101,68,32,54,415,ship,recovery,confidence-floor
g008,membership churn,93,23,30,30,302,ship,negative,lane-boundary
g009,quorum health,49,38,30,65,255,ship,baseline,monotonic-signal
g010,lease drift,30,13,32,87,213,ship,edge,drag-penalty
g011,replica lag,68,73,13,103,457,ship,recovery,confidence-floor
g012,membership churn,91,70,5,72,477,ship,negative,lane-boundary
g013,quorum health,106,36,35,104,492,ship,baseline,monotonic-signal
g014,lease drift,117,22,19,39,413,ship,edge,drag-penalty
g015,replica lag,38,52,13,54,248,ship,recovery,confidence-floor
g016,membership churn,90,70,11,23,364,ship,negative,lane-boundary
g017,quorum health,75,11,12,98,408,ship,baseline,monotonic-signal
g018,lease drift,71,19,14,54,312,ship,edge,drag-penalty
g019,replica lag,73,61,37,79,364,ship,recovery,confidence-floor
g020,membership churn,33,49,29,53,196,ship,negative,lane-boundary
g021,quorum health,61,11,27,45,230,ship,baseline,monotonic-signal
g022,lease drift,78,29,6,66,383,ship,edge,drag-penalty
g023,replica lag,90,76,18,60,430,ship,recovery,confidence-floor
g024,membership churn,100,32,5,62,446,ship,negative,lane-boundary
g025,quorum health,64,67,42,24,223,ship,baseline,monotonic-signal
g026,lease drift,94,67,41,53,373,ship,edge,drag-penalty
g027,replica lag,112,35,42,29,345,ship,recovery,confidence-floor
g028,membership churn,37,21,44,64,172,watch,negative,lane-boundary
g029,quorum health,91,52,25,86,447,ship,baseline,monotonic-signal
g030,lease drift,77,70,17,102,471,ship,edge,drag-penalty
g031,replica lag,30,11,15,71,213,ship,recovery,confidence-floor
g032,membership churn,116,19,15,103,543,ship,negative,lane-boundary
g033,quorum health,56,61,17,38,271,ship,baseline,monotonic-signal
g034,lease drift,30,14,40,53,130,watch,edge,drag-penalty
g035,replica lag,64,28,32,22,200,ship,recovery,confidence-floor
g036,membership churn,41,73,20,97,350,ship,negative,lane-boundary
g037,quorum health,77,28,4,53,357,ship,baseline,monotonic-signal
g038,lease drift,54,43,40,78,281,ship,edge,drag-penalty
g039,replica lag,46,18,38,52,184,watch,recovery,confidence-floor
g040,membership churn,90,8,39,44,288,ship,negative,lane-boundary
g041,quorum health,71,75,41,65,336,ship,baseline,monotonic-signal
g042,lease drift,109,41,22,59,442,ship,edge,drag-penalty
g043,replica lag,44,27,14,61,253,ship,recovery,confidence-floor
g044,membership churn,59,57,12,23,256,ship,negative,lane-boundary
g045,quorum health,70,75,33,52,323,ship,baseline,monotonic-signal
g046,lease drift,79,16,45,28,219,ship,edge,drag-penalty
g047,replica lag,43,24,32,63,215,ship,recovery,confidence-floor
g048,membership churn,116,66,27,85,530,ship,negative,lane-boundary
g049,quorum health,112,54,26,101,540,ship,baseline,monotonic-signal
g050,lease drift,114,16,27,70,444,ship,edge,drag-penalty
g051,replica lag,74,34,29,102,402,ship,recovery,confidence-floor
g052,membership churn,102,11,10,37,371,ship,negative,lane-boundary
g053,quorum health,31,37,44,52,146,watch,baseline,monotonic-signal
g054,lease drift,43,72,42,21,159,watch,edge,drag-penalty
g055,replica lag,53,72,42,96,339,ship,recovery,confidence-floor
g056,membership churn,105,40,44,52,371,ship,negative,lane-boundary
g057,quorum health,47,26,25,77,271,ship,baseline,monotonic-signal
g058,lease drift,65,57,17,51,320,ship,edge,drag-penalty
g059,replica lag,78,75,5,43,385,ship,recovery,confidence-floor
g060,membership churn,44,16,31,64,214,ship,negative,lane-boundary
g061,quorum health,30,24,25,58,180,watch,baseline,monotonic-signal
g062,lease drift,71,66,23,60,353,ship,edge,drag-penalty
g063,replica lag,69,19,24,22,222,ship,recovery,confidence-floor
